workbook,family_code,name,refers_to,local_sheet_id,hidden
Price Estimator-Fybroc.xlsm,FYBROC,ANSISize,"[1]!Table4[[#Headers],[ANSI Size]]",8,False
Price Estimator-Fybroc.xlsm,FYBROC,ANSISize,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,ANSISize,"Table4[[#Headers],[ANSI Size]]",28,False
Price Estimator-Fybroc.xlsm,FYBROC,ANSISize,"Table4[[#Headers],[ANSI Size]]",,False
Price Estimator-Fybroc.xlsm,FYBROC,Ansisze,"[1]!Table4[[#Headers],[ANSI Size]]",,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate1,"INDEX(#REF!,0,MATCH(CONCATENATE('[2]Price Check'!$B$25,"":Group "",'[2]Price Check'!$B$27),#REF!,0))",7,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate1,"INDEX(#REF!,0,MATCH(CONCATENATE('[2]Price Check'!$B$25,"":Group "",'[2]Price Check'!$B$27),#REF!,0))",8,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate1,"""'=INDEX(#REF!#REF!,0,MATCH(CONCATENATE('Price Check'!$B$27),#REF!#REF!,0))""",3,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate1,"INDEX(#REF!,0,MATCH(CONCATENATE(#REF!,"":Group "",#REF!),#REF!,0))",9,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate1,"INDEX(Table153[],0,MATCH(CONCATENATE('Price Check'!$B$25,"":Group "",'Price Check'!$B$27),Table153[#Headers],0))",28,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate1,"INDEX(Table153[],0,MATCH(CONCATENATE('Price Check'!$B$25,"":Group "",'Price Check'!$B$27),Table153[#Headers],0))",,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate2,"INDEX(#REF!,0,MATCH(CONCATENATE([2]MainTemplate!$B$26,"":Group "",[2]MainTemplate!$B$28),#REF!,0))",7,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate2,"INDEX(#REF!,0,MATCH(CONCATENATE([2]MainTemplate!$B$26,"":Group "",[2]MainTemplate!$B$28),#REF!,0))",8,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate2,"INDEX(#REF!,0,MATCH(CONCATENATE(#REF!,"":Group "",#REF!),#REF!,0))",9,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate2,"INDEX(Table153[],0,MATCH(CONCATENATE(MainTemplate!$B$26,"":Group "",MainTemplate!$B$28),Table153[#Headers],0))",,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate21,"INDEX(#REF!,0,MATCH(CONCATENATE('[2]Price Check'!$B$25,"":Group "",'[2]Price Check'!$B$27),#REF!,0))",7,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate21,"INDEX(#REF!,0,MATCH(CONCATENATE('[2]Price Check'!$B$25,"":Group "",'[2]Price Check'!$B$27),#REF!,0))",8,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate21,"INDEX(#REF!,0,MATCH(CONCATENATE(#REF!,"":Group "",#REF!),#REF!,0))",9,False
Price Estimator-Fybroc.xlsm,FYBROC,Baseplate21,"INDEX(Table153[],0,MATCH(CONCATENATE('Price Check'!$B$25,"":Group "",'Price Check'!$B$27),Table153[#Headers],0))",,False
Price Estimator-Fybroc.xlsm,FYBROC,Dean_Pump_Series_List,"[1]!Dean_Pump_Series[[#All],[Pump Series]]",,False
Price Estimator-Fybroc.xlsm,FYBROC,Efficiency_Table,'[1]Horizontal Data'!#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Efficiency_Table,'[1]Horizontal Data'!#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Efficiency_Table,Tables!$E$196:$F$198,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Efficiency_Table,#REF!,9,False
Price Estimator-Fybroc.xlsm,FYBROC,Efficiency_Table,Tables!$E$200:$F$202,,False
Price Estimator-Fybroc.xlsm,FYBROC,Enclosure,#REF!,,False
Price Estimator-Fybroc.xlsm,FYBROC,Enclosure_Table,#REF!,7,False
Price Estimator-Fybroc.xlsm,FYBROC,Enclosure_Table,#REF!,8,False
Price Estimator-Fybroc.xlsm,FYBROC,Enclosure_Table,Tables!$E$188:$F$193,3,False
Price Estimator-Fybroc.xlsm,FYBROC,Enclosure_Table,#REF!,9,False
