family_code,workbook_role,workbook_name,name,scope,refers_to,resolved_sheet,resolved_range,row_count,column_count
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Coupling_Option,workbook,Options!$D$3:$D$4,Options,$D$3:$D$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,CycloneSep,workbook,'Pump Options'!$N$3:$N$4,Pump Options,$N$3:$N$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Dynamic_Impeller,workbook,'Pump Options'!$O$3:$O$4,Pump Options,$O$3:$O$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Efficiency,workbook,' Motor Assy'!$M$3:$M$4, Motor Assy,$M$3:$M$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Enclosure,workbook,' Motor Assy'!$L$3:$L$6, Motor Assy,$L$3:$L$6,4,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Flush,workbook,'Pump Options'!$M$3:$M$8,Pump Options,$M$3:$M$8,6,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Frame_Code_Mtr,workbook,' Motor Assy'!$K$3:$K$21, Motor Assy,$K$3:$K$21,19,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Gland_Hardware,workbook,'Pump Options'!$L$3:$L$7,Pump Options,$L$3:$L$7,5,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Hertz,workbook,' Motor Assy'!$J$3:$J$4, Motor Assy,$J$3:$J$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Horsepower_Mtr,workbook,' Motor Assy'!$G$3:$G$21, Motor Assy,$G$3:$G$21,19,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Impeller_Sleeve,workbook,'Pump Options'!$G$3:$G$8,Pump Options,$G$3:$G$8,6,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Motor_Class,workbook,' Motor Assy'!$E$3:$E$4, Motor Assy,$E$3:$E$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Motor_Manufacturer,workbook,' Motor Assy'!$N$3:$N$7, Motor Assy,$N$3:$N$7,5,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Motor_Modifications,workbook,Attributes!$R$8:$R$38,Attributes,$R$8:$R$38,31,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Motor_Option,workbook,' Motor Assy'!$D$3:$D$5, Motor Assy,$D$3:$D$5,3,1
